Item,ID,Ada,Adams,Bannock,BearLake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,NezPerce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,TwinFalls,Valley,Washington,year
"Selected crops harvested: Dry edible beans, excluding dry limas cwt",2878053,43114,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),313226,(D),208882,(D),(D),(D),39380,15500,(D),7764,63105,12760,(D),244925,64825,387524,(D),76738,(D),(D),93657,412987,(D),92112,47827,(D),(D),(D),690779,(D),38555,2012
"Selected crops harvested: Cotton, all farms ",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
"Selected crops harvested: Cotton, all acres ",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
"Selected crops harvested: Cotton, all pounds ",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
"Selected crops harvested:  Forage - land used for all hay and haylage, grass silage, and greenchop farms",11930,596,125,346,312,116,502,128,39,345,398,194,145,62,1007,188,351,33,129,160,176,475,252,356,296,371,443,290,291,347,196,97,192,215,321,146,260,339,318,92,19,141,739,50,332,2012
"Selected crops harvested:  Forage - land used for all hay and haylage, grass silage, and greenchop acres",1376632,19684,14699,33228,58140,13922,56299,24739,2357,18804,37674,15407,37890,50501,49496,30408,68288,22676,8185,31380,41475,48025,28678,16149,43382,40110,69411,48936,18712,23768,41102,6878,28891,17601,37499,10952,36454,66091,18607,10221,677,17608,72812,5484,33332,2012
"Selected crops harvested:  Forage - land used for all hay and haylage, grass silage, and greenchop tons, dry equivalent",5041850,89111,28231,82612,93068,31932,250549,86807,6955,29411,120396,38749,150244,60732,234640,62730,324196,91162,12246,79232,186537,143255,68513,55850,276507,70291,316375,332878,38461,43163,96915,12950,132462,69834,210080,22808,95382,305562,85006,29923,898,36831,424441,8953,104972,2012
Selected crops harvested: Rice farms ,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Rice acres ,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Rice cwt ,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
"Selected crops harvested: Sunflower seed, all farms ",3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2,1,(D),(D),(D),(D),(D),(D),(D),2012
"Selected crops harvested: Sunflower seed, acres ",140,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
"Selected crops harvested: Sunflower seed, pounds ",7960,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Sugar beets for sugar farms,531,13,(D),(D),(D),(D),42,(D),(D),(D),(D),(D),(D),(D),63,(D),96,(D),(D),(D),9,(D),(D),4,14,(D),(D),50,(D),(D),(D),(D),19,(D),102,(D),(D),22,16,16,(D),(D),42,(D),23,2012
Selected crops harvested: Sugar beets for sugar acres,184510,1930,(D),(D),(D),(D),25499,(D),(D),(D),(D),(D),(D),(D),9427,(D),36799,(D),(D),(D),4855,(D),(D),486,3300,(D),(D),13219,(D),(D),(D),(D),5559,(D),48251,(D),(D),5549,1739,17270,(D),(D),8755,(D),1872,2012
Selected crops harvested: Sugar beets for sugar tons,6474139,77101,(D),(D),(D),(D),905491,(D),(D),(D),(D),(D),(D),(D),367709,(D),1252261,(D),(D),(D),177379,(D),(D),17748,126602,(D),(D),464575,(D),(D),(D),(D),179683,(D),1625559,(D),(D),211521,67476,626533,(D),(D),303667,(D),70834,2012
Selected crops harvested:  Sugarcane for sugar farms ,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested:  Sugarcane for sugar acres ,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested:  Sugarcane for sugar pounds ,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Vegetables harvested for sale Potatoes farms,1307,66,6,45,2,6,133,6,2,28,44,11,6,8,146,17,60,1,2,11,27,6,68,6,35,13,36,41,43,28,15,(D),4,77,42,18,3,11,25,33,3,16,132,6,19,2012
Selected crops harvested: Vegetables harvested for sale Potatoes acres,369480,926,1,7767,(D),12,77308,(D),(D),31,23796,16,595,9,15364,9438,26407,(D),(D),(D),7842,(D),30875,(D),7851,7,21515,10310,151,21,17,(D),255,30673,31685,27,(D),572,3186,38999,(D),4742,13466,123,1675,2012
Selected crops harvested: Potatoes farms ,794,27,(D),20,2,4,122,1,2,17,36,11,6,2,48,17,53,1,2,11,15,1,66,2,18,3,31,25,20,15,7,(D),4,74,37,7,1,8,8,30,(D),12,24,4,(D),2012
Selected crops harvested: Potatoes acres ,345217,221,(D),7664,(D),3,77204,(D),(D),6,23782,8,595,(D),7310,9438,(D),(D),(D),(D),(D),(D),30872,(D),6840,1,21426,8585,(D),3,1,(D),255,30667,31547,2,(D),(D),527,1921,(D),(D),4734,5492,122,2012
Selected crops harvested: Sweet potatoes farms ,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Sweet potatoes acres ,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6,(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Land in orchards farms,482,53,4,23,(D),5,16,2,1,18,18,13,1,(D),85,(D),2,(D),(D),4,5,9,2,40,15,14,6,1,26,13,10,1,(D),7,(D),18,1,10,30,3,(D),6,17,(D),7,2012
Selected crops harvested: Land in orchards acres,6529,138,6,32,(D),6,23,(D),(D),33,31,12,(D),(D),4331,(D),(D),(D),(D),4,57,17,(D),363,27,63,4,(D),33,22,27,(D),(D),9,(D),91,(D),(D),945,(D),(D),5,25,(D),(D),2012
